sample,column,depth (m),Y89(LR),Zr90(LR),Cd111(LR),In115(LR),La139(LR),Pb208(LR),Sc45(MR),Ti47(MR),V51(MR),Mn55(MR),Fe56(MR),Co59(MR),Ni60(MR),Cu63(MR),Zn66(MR),Ga69(MR)
St  3 5,5,3001,146.0466582,229.0049298,0.327776355,327.7763554,26.26399826,31.15937748,27.10275634,211.1625507,28.69414356,0.173958243,0.800067875,22.09286997,5.002182369,1.443790272,3.929342106,35.84258189
St  3 6,6,2751,149.2214727,203.394759,0.326705925,326.7059247,25.6860839,32.25037508,26.38918141,178.946943,28.94646972,0.154713873,0.580192986,24.9231262,5.063820317,1.272223505,2.182567796,37.95367308
St  3 7,7,2501,142.9771919,207.5605344,0.307336027,307.3360272,23.97728602,35.62534283,25.31898348,202.8415218,28.81447148,0.177943528,1.072583911,27.52370202,4.770797601,1.156134016,2.255367333,36.50366508
St  3 8,8,2000,145.866309,182.5261302,0.280307351,280.3073514,23.95635708,44.78165196,25.25401962,159.5493126,26.74443326,0.257867864,0.699363292,32.80833368,4.421309651,0.869832295,1.847973451,38.72428526
St  3 17,1,251,141.982564,202.5430292,0.060685893,60.68589255,18.82170264,36.55235824,15.05577505,68.22716798,24.02138277,0.637723682,0.308121728,32.3244947,2.694230588,0.475986143,0.220226449,46.22133681
St  3 18,2,202,137.7190043,89.78416108,0.033300719,33.3007187,17.20264871,33.75228194,13.31620999,68.77512506,28.10923272,0.762781895,0.197870047,25.334082,2.293747409,0.482204533,0.118483421,38.56700561
St  3 19,3,151,139.747302,93.89822917,0.047725054,47.7250541,18.14086522,31.17384343,14.47569567,73.21930459,29.50902704,0.460132207,0.364422538,25.74765196,2.383711185,0.524698031,2.618718942,36.71722692
St  3 20,4,100,155.6182934,80.67526994,0.003063245,3.063245477,18.42022708,27.79918135,10.54116588,53.25592062,29.04892844,0.852995251,0.051500846,14.94347813,1.88396093,0.41994095,0.337041352,37.66134894
St  3 21,5,75,159.1004535,83.60432476,3.56E-05,0.035581856,17.58870716,27.96260469,10.42069034,57.93761092,26.12618453,1.016856374,0.088162517,12.52797463,2.010019876,0.437605854,0.109400815,43.09357085
St  3 22,6,49,148.4443914,83.43383858,0.002646436,2.646436168,17.26529514,29.11028208,11.03591159,62.24556284,29.7137743,0.947151589,0.192605865,12.46237694,2.049212986,0.563748189,1.129319754,38.44313411
St  3 23,7,24,161.8872114,84.08554674,0.000339213,0.339213298,19.27620933,27.7682936,11.61031785,47.29246323,26.31743997,1.07526552,0.131432949,15.17194869,2.157856522,0.607528246,0.064538441,46.21490127
St  3 24,8,8,153.1157431,75.68839545,0.000685956,0.685956206,19.16751492,26.73977518,10.80315321,73.41542708,27.64126328,0.996525875,0.15248637,13.07752779,2.033329197,1.052751079,0.201160336,40.43285932
